WKT;Gemeinde;PLZ;Adresse Gemeindeamt;Lat;Lon;osm_id;building;location;landuse/operator;operator/voltage;Polit. Gemeinde;distance
MULTILINESTRING ((562400.464597955 5217387.62647038,564061.411180497 5217798.3792225));Sinabelkirchen;8261;Sinabelkirchen 8;47,10704287;15,82242856;152303289;substation;Umspannwerk Unterrettenbach/AWP;;;Sinabelkirchen;1710,982575
MULTILINESTRING ((577837.487367447 5208836.40820842,580643.108531442 5211470.09655909));S�chau;8280;S�chau 104;47,02846432;16,02438086;99730272;substation;Umspannwerk Fürstenfeld;Energie Netze Steiermark GmbH;110000;Fürstenfeld;3848,093612
MULTILINESTRING ((522037.014331835 5205064.05731813,526334.513400467 5200332.90327156));S�ding-Sankt_Johann;8565;Schulplatz 1;46,9987328;15,2898564;103774165;substation;Umspannwerk Lieboch;;"110000;20000";Lieboch;6391,581718
MULTILINESTRING ((420097.803563563 5254233.267854,407406.156160591 5251855.61140442));S�lk;8961;Stein an der Enns 100;47,4366476;13,9403401;90431884;substation;Umspannwerk Haus;Energie Steiermark;;Haus;12912,44222
MULTILINESTRING ((484682.50946037 5228294.14584687,488052.82127719 5229705.71259099));Spielberg;8740;Marktpassage 1B1;47,2079594;14,7977357;92340887;substation;Umspannwerk Knittelfeld/Ost;;;Kobenz;3653,973511
MULTILINESTRING ((556639.293978266 5273904.49194885,549894.060861378 5270768.4613712));Spital_am_Semmering;8685;Bundesstra�e 16;47,6160689;15,7537124;97094288;substation;Umspannwerk Mürzzuschlag;;110000;Mürzzuschlag;7438,60589
MULTILINESTRING ((422611.078589871 5215301.09946944,429079.706627848 5217624.98832818));Stadl-Predlitz;8864;Stadl an der Mur 120;47,0866814;13,9804133;92686645;substation;Kraftwerk Bodendorf-Mur;;;St. Georgen am Kreischberg;6873,398586
MULTILINESTRING ((432819.15749051 5264884.35264788,432755.336714196 5260093.60891747));Stainach-P�rgg;8951;Hauptplatz 27;47,5339095;14,1074052;91013052;substation;Umspannwerk Irdning;;110000;Irdning-Donnersbachtal;4791,168812
MULTILINESTRING ((520144.347694415 5193394.9835517,526958.915274542 5189041.96986963));Stainz;8524;Hauptplatz 1;46,893786;15,2644445;103800075;substation;Umspannwerk Preding;;;Wettmannstätten;8086,226525
MULTILINESTRING ((516594.555385404 5211781.07552882,510234.167452873 5211364.1692088));Stallhofen;8152;Stallhofen 113;47,05933574;15,21851803;96176843;substation;Umspannwerk Bärnbach (i.b.);;;Bärnbach;6374,036832
MULTILINESTRING ((537725.921532347 5257054.38868153,532473.12790896 5260755.28567293));Stanz_im_M�rztal;8653;Stanz im M�rztal 61;47,4658365;15,5005948;122849865;substation;Umspannwerk Kindberg (i.b.);;110000;Kindberg;6425,611208
MULTILINESTRING ((531814.721181468 5220523.30070082,531562.543578114 5215741.55545051));Stattegg;8046;Dorfplatz 1;47,13744375;15,41955132;146978108;substation;Umspannwerk Graz Gösting/Nord;;"110000;20000";Graz;4788,39025
MULTILINESTRING ((517413.418109669 5215552.42352756,510234.167452873 5211364.1692088));Stiwoll;8113;Stiwoll 24;47,0932514;15,2294464;96176843;substation;Umspannwerk Bärnbach (i.b.);;;Bärnbach;8311,625246
MULTILINESTRING ((566767.987178386 5184225.00520637,568693.982948384 5190229.34138403));Straden;8345;Straden 2;46,80822535;15,87510642;99791175;substation;Umspannwerk Merkendorf;;110000;Bad Gleichenberg;6305,673052
MULTILINESTRING ((554698.659847443 5251338.0929131,552167.081226853 5243705.72257617));Strallegg;8190;Strallegg 100;47,41320063;15,72508765;99745003;substation;Umspannwerk Birkfeld;;;Birkfeld;8041,266522
MULTILINESTRING ((547616.446115989 5175108.75486604,547472.252591711 5173816.95920263));Stra�_in_Steiermark;8473;Hauptstra�e 61;46,7278358;15,6231648;127516438;substation;Kraftwerk Spielfeld;;;Straß in Steiermark;1299,818375
MULTILINESTRING ((560721.663774034 5232429.9491765,573431.176998968 5235020.66669088));Stubenberg;8224;Stubenberg am See 5;47,2425445;15,8023406;96734998;substation;Umspannwerk Hartberg;STEWEAG;110000;Hartberg;12970,87289
MULTILINESTRING ((451398.144999681 5219860.22080806,451716.820207072 5220285.97194909));Teufenbach-Katsch;8850;Hauptstra�e 7;47,1304527;14,3591546;132457784;substation;Umspannwerk Teufenbach;;;Teufenbach-Katsch;531,8062823
MULTILINESTRING ((527420.82001885 5213651.85677014,531562.543578114 5215741.55545051));Thal;8151;Am Kirchberg 2;47,0758092;15,36119026;146978108;substation;Umspannwerk Graz Gösting/Nord;;"110000;20000";Graz;4639,042424
MULTILINESTRING ((548788.196815626 5230225.93520941,547799.430914718 5228348.97073074));Thannhausen;8160;Thannhausen 1;47,22370875;15,64442978;79122729;substation;Umspannwerk Weiz;;;Weiz;2121,474407
MULTILINESTRING ((517538.860461471 5263272.39301698,515686.013069374 5263077.55556678));Th�rl;8624;Palbersdorf 73;47,5226421;15,2329785;130382579;substation;Umspannwerk Thörl (i.b.);;;Thörl;1863,063362
MULTILINESTRING ((571690.418769676 5181939.14144679,573155.811806696 5174328.21801356));Tieschen;8355;Tieschen 55;46,78714601;15,93925659;321321455;substation;Umspannwerk Halbenrain (i.b.);;110000;Halbenrain;7750,711726
MULTILINESTRING ((539365.563019803 5184428.0531784,542688.990197913 5183096.86728821));Tillmitsch;8430;Dorfstra�e 87;46,812235;15,51598925;83740188;substation;Umspannwerk Leibnitz;;;Leibnitz;3580,115093
MULTILINESTRING ((498833.943926075 5247095.36643209,500133.539313568 5245036.90258304));Traboch;8792;Schulweg 2;47,37731595;14,98455324;92220396;substation;Umspannwerk Sankt Michael;STEWEAG-STEG;;Traboch;2434,383205
MULTILINESTRING ((512273.002262145 5257553.22293851,515686.013069374 5263077.55556678));Trag��-Sankt_Katharein;8612;St. Katharein an der Laming 11;47,4713021;15,1628703;130382579;substation;Umspannwerk Thörl (i.b.);;;Thörl;6493,604065
MULTILINESTRING ((461320.120675425 5259272.79652593,459665.3874356 5260265.88024309));Trieben;8784;Triebener Bundesstra�e 10;47,485741;14,486553;91236151;substation;Umspannwerk Schwarzenbach;;;Trieben;1929,859416
MULTILINESTRING ((500618.719809194 5252502.16230315,501569.320339818 5249278.20985183));Trofaiach;8793;Luchinettigasse 9;47,42596775;15,00820374;88680218;substation;Umspannwerk Hessenberg;Verbund Austrian Power Grid AG;"220000;110000";St. Peter-Freienstein;3361,176993
MULTILINESTRING ((525421.541644016 5267236.55565952,531136.563418555 5260389.79128045));Turnau;8636;Marktplatz 18;47,55805015;15,3379161;97094291;substation;Umspannwerk Hadersdorf;;;Kindberg;8918,50079
MULTILINESTRING ((517692.129649875 5230414.79619255,524445.980859832 5228060.6854106));�belbach;8124;Alter Markt 64;47,2269821;15,2337045;96176841;substation;Umspannwerk Deutschfeistritz;;;Deutschfeistritz;7152,366304
MULTILINESTRING ((580900.527461153 5203336.76228527,580643.108531442 5211470.09655909));Unterlamm;8361;Unterlamm 100;46,97861523;16,06370232;99730272;substation;Umspannwerk Fürstenfeld;Energie Netze Steiermark GmbH;110000;Fürstenfeld;8137,406891
