WKT;Gemeinde;PLZ;Adresse Gemeindeamt;Lat;Lon;osm_id;landuse/name;name;substation/voltage;building/operator;Polit. Gemeinde;distance
MULTILINESTRING ((375880.49585424 5283890.14622345,363177.666816976 5272455.62351172));Niedernsill;5722;Gemeindeamt Niedernsill;47,69646785;13,34575815;93206012;Umspannwerk Golling;substation;110000;;Golling an der Salzach;17091,23094
MULTILINESTRING ((316421.107447265 5239690.03257445,308806.654294886 5239197.40167908));Uttendorf;5723;Dorfbachstraße 1;47,28496155;12,57230641;98249243;Umspannwerk Mittersill;substation;110000;;Mittersill;7630,372337
MULTILINESTRING ((313131.519372099 5240226.76544123,308806.654294886 5239197.40167908));Stuhlfelden;5724;Stuhlfelden Nr. 21;47,28885726;12,5286204;98249243;Umspannwerk Mittersill;substation;110000;;Mittersill;4445,677416
MULTILINESTRING ((304837.432466615 5238938.66800142,308806.654294886 5239197.40167908));Hollersbach_im_Pinzgau;5731;Hollersbach 12;47,2748613;12,4196045;98249243;Umspannwerk Mittersill;substation;110000;;Mittersill;3977,645665
MULTILINESTRING ((309542.371160518 5239502.00887922,308806.654294886 5239197.40167908));Mittersill;5731;Stadtplatz 1;47,2813089;12,4815092;98249243;Umspannwerk Mittersill;substation;110000;;Mittersill;796,2818928
MULTILINESTRING ((299241.215196433 5238835.73571613,308806.654294886 5239197.40167908));Bramberg_am_Wildkogel;5741;Dorfstraße 100;47,2722468;12,3457393;98249243;Umspannwerk Mittersill;substation;110000;;Mittersill;9572,273889
MULTILINESTRING ((294165.350286635 5236967.62188546,308806.654294886 5239197.40167908));Neukirchen_am_Großvenediger;5741;Marktstraße 171;47,2538825;12,2795683;98249243;Umspannwerk Mittersill;substation;110000;;Mittersill;14810,12157
MULTILINESTRING ((290258.094115704 5236281.46770964,308806.654294886 5239197.40167908));Wald_im_Pinzgau;5742;Wald 34;47,2464784;12,2283112;98249243;Umspannwerk Mittersill;substation;110000;;Mittersill;18776,36162
MULTILINESTRING ((286165.026121335 5233719.24642583,308806.654294886 5239197.40167908));Krimml;5743;Oberkrimml 37;47,2221301;12,175514;98249243;Umspannwerk Mittersill;substation;110000;;Mittersill;23294,92458
MULTILINESTRING ((334383.761236394 5247685.91179086,335108.511707958 5246148.08997842));Maishofen;5751;Anton-Faistauer-Platz 7;47,3616426;12,8066856;108120142;Umspannwerk Maishofen;substation;110000;;Maishofen;1700,046815
MULTILINESTRING ((328677.620842719 5248418.80999058,335108.511707958 5246148.08997842));Viehhofen;5752;Viehhofen Nr. 31;47,36676176;12,73089438;108120142;Umspannwerk Maishofen;substation;110000;;Maishofen;6820,009288
MULTILINESTRING ((321635.575297412 5251406.45154045,318258.948143739 5249497.30516171));Saalbach-Hinterglemm;5754;Dorfplatz 36;47,39173855;12,63650413;106525523;Umspannwerk Hinterglemm;substation;110000;;Saalbach-Hinterglemm;3878,975487
MULTILINESTRING ((337711.868024524 5254831.08500178,339965.021601871 5254225.60247259));Saalfelden_am_Steinernen_Meer;5760;Rathausplatz;47,4267252;12,8481135;112481895;Umspannwerk Saalfelden am Seinernen Meer (i.b.);substation;110000;;Saalfelden am Steinernen Meer;2333,090255
MULTILINESTRING ((341914.737176701 5252506.3724406,339965.021601871 5254225.60247259));Maria_Alm_am_Steinernen_Meer;5761;Am Gemeindeplatz 3;47,4068534;12,9046331;112481895;Umspannwerk Saalfelden am Seinernen Meer (i.b.);substation;110000;;Saalfelden am Steinernen Meer;2599,450466
MULTILINESTRING ((330354.737621175 5256559.72921854,339965.021601871 5254225.60247259));Leogang;5771;Leogang Nr. 4;47,44039574;12,74997337;112481895;Umspannwerk Saalfelden am Seinernen Meer (i.b.);substation;110000;;Saalfelden am Steinernen Meer;9889,676732
