WKT;Gemeinde;PLZ;Adresse Gemeindeamt;Lat;Lon;osm_id;landuse/name;substation/voltage;location/operator;Polit. Gemeinde;distance
MULTILINESTRING ((265499.453945358 5234099.52597523,265176.262490773 5235805.82192859));Hainzenberg;6278;D�rfl 360;47,2184973;11,9027405;156973414;Umspannwerk Zell am Ziller;"380000;220000;110000";Austrian Power Grid AG;Rohrberg;1736,634273
MULTILINESTRING ((235823.822875664 5242417.88961419,235156.117778468 5241651.09149436));Hall_in_Tirol;6060;Oberer Stadtplatz 1�2;47,2819533;11,5065773;121265317;Umspannwerk Hall;110000;TIWAG-Netz AG;Hall in Tirol;1016,764207
MULTILINESTRING ((263847.549090171 5248834.61991784,262886.15072973 5249563.93402539));Hart_im_Zillertal;6265;Kirchplatz 1;47,3502996;11,873156;89425769;Umspannwerk Fügen;110000;TIWAG;Fügen;1206,725269
MULTILINESTRING ((159863.718625135 5249800.21173148,163683.984437627 5230595.80189101));H�selgehr;6651;H�selgehr 160;47,31320572;10,49929047;102601926;Umspannwerk Landeck;110000;TIWAG;Landeck;19580,69938
MULTILINESTRING ((210228.16641859 5243204.98634797,213733.375500649 5243144.303752));Hatting;6402;Bahnstr. 2;47,2782122;11,1683367;147563007;Umspannwerk Zirl;110000;TIWAG;Zirl;3505,734315
MULTILINESTRING ((304625.516342323 5180486.62327354,316637.319342671 5199486.82927833));Heinfels;9919;Panzendorf 126;46,7493332;12,4420355;85699549;UW Kienburg;110000;;Matrei in Osttirol;22478,68412
MULTILINESTRING ((179393.468439181 5263270.0426016,179805.436860635 5268787.09566301));Heiterwang;6611;Oberdorf 13;47,4439239;10,7472317;26703085;Umspannwerk Breitenwang (i.b.);110000;;Breitenwang;5532,412897
MULTILINESTRING ((156734.598889679 5255002.30927559,163683.984437627 5230595.80189101));Hinterhornbach;6646;Hinterhornbach 18;47,35823652;10,45400744;102601926;Umspannwerk Landeck;110000;TIWAG;Landeck;25376,59477
MULTILINESTRING ((262608.74856647 5232537.54218653,265176.262490773 5235805.82192859));Hippach;6283;Johann-Sponring-Stra�e 80;47,2034251;11,8654465;156973414;Umspannwerk Zell am Ziller;"380000;220000;110000";Austrian Power Grid AG;Rohrberg;4156,173748
MULTILINESTRING ((320529.854408538 5260128.57011988,321484.487608143 5260171.60353426));Hochfilzen;6395;Dorf 35;47,4698502;12,6183282;94790504;Umspannwerk Hochfilzen;110000;;Hochfilzen;955,6026478
