WKT;Gemeinde;PLZ;Adresse Gemeindeamt;Lat;Lon;osm_id;location/substatoin;name/operator;operator;substation/voltage;Polit. Gemeinde;distance
MULTILINESTRING ((376599.314172307 5301594.90575727,384375.966818374 5295742.9659758));Tiefgraben;4893;Wredeplatz 2;47,8558389;13,3503039;95297285;Umspannwerk Unterach;Energie AG;substation;110000;Unterach am Attersee;9732,498425
MULTILINESTRING ((396493.774056316 5317415.49803625,395520.960088634 5316533.40998193));Timelkam;4850;Pollheimerstra�e 5;48,0016529;13,6123751;118104933;Umrichterwerk Timelkam;;substation;;Timelkam;1313,181766
MULTILINESTRING ((410782.466720058 5344188.632981,412292.417524792 5343247.1638294));Tollet;4710;Tollet 1;48,2446318;13,7982803;95024146;Umspannwerk Grieskirchen;Energie AG;substation;110000;Grieskirchen;1779,414397
MULTILINESTRING ((472038.427210966 5353224.08932423,462973.208721925 5356404.63162904));Tragwein;4284;Markt 33;48,3315826;14,6227332;95843031;Umspannwerk Friensdorf;Linz Strom AG;substation;110000;Wartberg ob der Aist;9606,978485
MULTILINESTRING ((443360.16158186 5341153.48188925,442334.598536097 5339350.64492124));Traun;4050;Hauptplatz 1;48,2210762;14,2374409;33058565;Umspannwerk Pucking (i.b.);Energie AG Oberösterreich;substation;110000;Pucking;2074,126489
MULTILINESTRING ((409494.27178663 5299758.71576813,405560.944685001 5293082.27414785));Traunkirchen;4801;Ortsplatz 1;47,8447979;13,7903283;107117959;Umspannwerk Steinkogl;Energie AG;substation;110000;Ebensee;7748,931204
MULTILINESTRING ((366560.894271505 5339038.02165273,371579.282921807 5339683.90759487));Treubach;5272;5272 Treubach;48,19054952;13,20451019;122351223;Umspannwerk Roßbach;;substation;110000;Roßbach;5059,781942
MULTILINESTRING ((388481.383611342 5343052.19533139,389677.978809151 5340781.44565609));Tumeltsham;4911;Hofmark 9;48,2308799;13,4982905;81216242;Umspannwerk Ried;;substation;110000;Hohenzell;2566,738038
MULTILINESTRING ((342048.059433845 5339532.14185472,352138.548965577 5345230.01650941));�berackern;5123;Dorfstra�e 3;48,1893692;12,8747112;93982415;Umspannwerk Innkraftwerk Braunau-Simbach (i.b.);;substation;;Braunau am Inn;11588,08675
MULTILINESTRING ((419929.554806079 5391888.91212319,425762.597979082 5378618.29438513));Ulrichsberg;4161;Markt 20;48,6749104;13,9123346;98308316;Umspannwerk Rohrbach-Berg (i.b.);;substation;110000;Rohrbach-Berg;14495,98868
MULTILINESTRING ((397561.572506802 5322545.51433816,394713.630742453 5318462.35404121));Ungenach;4841;Ungenach 33;48,04796714;13,62545946;33840061;Umspannwerk Timelkam;;substation;110000;Timelkam;4978,249723
MULTILINESTRING ((386744.391117529 5295631.39136932,384375.966818374 5295742.9659758));Unterach_am_Attersee;4866;Hauptstra�e 9;47,8040696;13,4874381;95297285;Umspannwerk Unterach;Energie AG;substation;110000;Unterach am Attersee;2371,050939
MULTILINESTRING ((460529.29856458 5357352.02148221,462973.208721925 5356404.63162904));Unterweitersdorf;4213;Gusentalstra�e 1a;48,3681044;14,4670671;95843031;Umspannwerk Friensdorf;Linz Strom AG;substation;110000;Wartberg ob der Aist;2621,115105
MULTILINESTRING ((484117.953036044 5365774.99835284,462839.408506459 5371606.8149626));Unterwei�enbach;4273;Markt 21;48,4449161;14,78523795;35034309;Umspannwerk Freistadt;Linz Strom AG;substation;"110000;20000";Freistadt;22063,23961
MULTILINESTRING ((385819.710137551 5348125.56206606,389677.978809151 5340781.44565609));Utzenaich;4972;Hofmark 3;48,2760338;13,4610928;81216242;Umspannwerk Ried;;substation;110000;Hohenzell;8295,919659
MULTILINESTRING ((400471.854761997 5375844.64966371,407761.312144478 5371510.00539332));Vichtenstein;4091;Vichtenstein 70;48,52781412;13,65193908;97989146;Kraftwerk Ranna;Energie AG;substation;110000;Neustift im Mühlkreis;8480,880254
MULTILINESTRING ((399410.496211719 5317859.73544415,399939.311357644 5316241.96073699));V�cklabruck;4840;Klosterstra�e 9;48,0061143;13,6513617;93187006;Umspannwerk Vöcklabruck;;substation;110000;Regau;1702,010711
MULTILINESTRING ((387137.294750752 5317591.54916835,394713.630742453 5318462.35404121));V�cklamarkt;4870;Dr.-Scheiber-Stra�e 8;48,0016529;13,4869374;33840061;Umspannwerk Timelkam;;substation;110000;Timelkam;7626,21585
