WKT;Gemeinde;PLZ;Adresse Gemeindeamt;Lat;Lon;osm_id;name;location/substation;substation/voltage;access/operator;Polit. Gemeinde;distance
MULTILINESTRING ((509888.119143052 5345831.1049949,519038.711898816 5349895.53807386));M�nichreith-Laimbach;3663;M�nichreith 38;48,2656115;15,1332419;90904770;substation;Umspannwerk Am Schuss;;EVN;Weiten;10012,64021
MULTILINESTRING ((591236.618260155 5386938.16693479,601752.762771096 5396680.66349098));Nappersdorf-Kammersdorf;2033;Kammersdorf 58;48,62885135;16,23821943;96193588;substation;Umspannwerk Laa an der Thaya;110000;;Laa an der Thaya;14335,46422
MULTILINESTRING ((582788.419433033 5284814.4090695,582775.550491438 5286421.36217082));Natschbach-Loipersbach;2620;Loipersbacher Str. 20;47,7114014;16,1036961;99761298;substation;Umspannwerk Hohe Wand;110000;;Neunkirchen;1607,00463
MULTILINESTRING ((541304.525388471 5342860.73593171,545100.345377189 5338662.64673369));Neidling;3110;Walter-Eder-Str. 7;48,2376193;15,5562736;85620021;substation;Umspannwerk St. Pölten;110000;;St. Pölten;5659,699842
MULTILINESTRING ((609687.682788759 5397459.49887981,601752.762771096 5396680.66349098));Neudorf_im_Weinviertel;2135;Hauptplatz 1;48,7205068;16,4913382;96193588;substation;Umspannwerk Laa an der Thaya;110000;;Laa an der Thaya;7973,050875
MULTILINESTRING ((489111.262933124 5322658.35725625,485982.075833861 5323294.83429887));Neuhofen_an_der_Ybbs;3364;Millenniumsplatz 1;48,0571121;14,8538682;30222212;substation;Umspannwerk Ulmerfeld-Hausmening;110000;EVN;Amstetten;3193,260861
MULTILINESTRING ((567573.359511066 5338973.14074477,567323.359915185 5339589.64881279));Neulengbach;3040;Kirchenplatz 82;48,200392;15,9093953;42330333;substation;Umspannwerk Neulengbach;110000;;Neulengbach;665,2683638
MULTILINESTRING ((504380.639657976 5331945.49359397,503557.09731282 5332607.39793134));Neumarkt_an_der_Ybbs;3371;Marktplatz 1;48,1407466;15,0588856;30076588;substation;Umspannwerk Ybbsfeld;"220000;110000";;St. Martin-Karlsbach;1056,569613
MULTILINESTRING ((581112.160967173 5285823.37211679,582775.550491438 5286421.36217082));Neunkirchen;2620;Hauptplatz 1;47,7206908;16,081541;99761298;substation;Umspannwerk Hohe Wand;110000;;Neunkirchen;1767,61331
MULTILINESTRING ((631680.665580619 5384697.62932335,632629.820581465 5385204.50777335));Neusiedl_an_der_Zaya;2183;Bahnstra�e 5 a;48,6014979;16,78615995;96616299;substation;Umspannwerk Neusiedl an der Zaya;110000;;Neusiedl an der Zaya;1076,020901
MULTILINESTRING ((492744.686930217 5337694.09845118,493246.748844234 5328765.66501958));Neustadtl_an_der_Donau;3323;Marktstra�e 16;48,19244;14,9023743;97392181;substation;Umspannwerk Amstetten-Ost;110000;;Amstetten;8942,538214
MULTILINESTRING ((567912.856135045 5331516.44781425,567323.359915185 5339589.64881279));Neustift-Innermanzing;3052;D�nekeplatz 3;48,133277;15,9127725;42330333;substation;Umspannwerk Neulengbach;110000;;Neulengbach;8094,694568
MULTILINESTRING ((596108.180564908 5366996.20127834,589272.09822496 5360734.29702432));Niederhollabrunn;2004;Amtsweg 1;48,44876335;16,29971619;33631764;substation;Stockerau;110000;;Stockerau;9270,56992
MULTILINESTRING ((603132.828372712 5378611.39417114,616265.004017724 5379833.17682198));Niederleis;2116;Hauptstra�e 71;48,5521153;16,3975547;128734659;substation;Umspannwerk Mistelbach;110000;;Mistelbach;13188,88888
