wkt_geom;osm_id;cables;name;voltage;wires;ref;operator;length
LineString (14.53841780000000128 46.84153279999999597, 14.53842530000000188 46.84149779999999907, 14.53844449999999888 46.84140840000000594, 14.53846650000000018 46.84130590000000183, 14.53848440000000153 46.84122270000000299, 14.53849420000000059 46.84117689999999357);684637605;1.0;;110000;0;;;39,98
LineString (14.53823130000000141 46.84148049999999586, 14.53837490000000088 46.84149330000000333, 14.53842530000000188 46.84149779999999907);684637604;1.0;;110000;0;;;14,92
LineString (14.52540100000000223 46.73294779999999804, 14.5254589999999979 46.73286790000000224, 14.52549690000000204 46.73281580000000446, 14.52554890000000043 46.73274409999999079);684639067;1.0;;110000;0;;;25,3
LineString (14.5257594000000001 46.73264550000000384, 14.52635300000000029 46.73182130000000001);684639066;1.0;;110000;0;112/7;KNG-Kärnten Netz GmbH;102,2
LineString (14.52635300000000029 46.73182130000000001, 14.52542509999999965 46.73253139999999917);684639065;1.0;;110000;0;112/5;KNG-Kärnten Netz GmbH;106,08
LineString (14.52520480000000092 46.73262479999999641, 14.52515230000000024 46.73269839999999675, 14.52511610000000175 46.73274909999999949, 14.5250629 46.73282350000000207);684639064;1.0;;110000;0;;;24,6
LineString (14.52560889999999993 46.73285390000000206, 14.52566030000000197 46.7327827999999954, 14.5256893999999992 46.73274239999999935, 14.5257594000000001 46.73264550000000384);684639072;1.0;;110000;0;;;25,86
LineString (14.52510460000000059 46.73268210000000522, 14.52515230000000024 46.73269839999999675, 14.52526630000000196 46.73273719999998832, 14.52538169999999873 46.73277649999999994, 14.52549690000000204 46.73281580000000446, 14.52560889999999993 46.73285390000000206, 14.52577110000000005 46.73290919999998749);684639071;1.0;;110000;0;;;56,83
LineString (14.52515830000000108 46.73260859999999184, 14.52520480000000092 46.73262479999999641, 14.52532180000000217 46.73266530000000074, 14.5254323000000003 46.73270370000000185, 14.52554890000000043 46.73274409999999079, 14.52566030000000197 46.7327827999999954, 14.52582079999999998 46.73283840000000566);684639070;1.0;;110000;0;;;56,69
LineString (14.52528700000000228 46.73291290000000942, 14.52534499999999973 46.73282929999999169, 14.52538169999999873 46.73277649999999994, 14.5254323000000003 46.73270370000000185);684639068;1.0;;110000;0;;;25,76
