WKT;full_id;osm_id;osm_type;generator_;generato_1;generato_2;generato_3;power;ref;generato_4;barrier;name;ele;plant_sour;access;constructi;height;operator;entrance;waterway;proposed;plant_meth;plant_outp;disused;man_made;location_t;marker;mount;pipeline_r;position;substance;utility;start_date;website;wikidata;maxheight;maxwidth;construc_1;height_hub;manufactur;manufact_1;rotor_diam;amenity;hiking;informatio;map_size;map_type;tourism;frequency;voltage;camera_ang;camera_dir;camera_mou;camera_typ;operator_t;surveillan;surveill_1;surveill_2
POINT (17.0324937 47.8269877);n2123478250;2123478250;node;wind_turbine;;3 MW;wind;generator;PSP014;horizontal_axis;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
POINT (17.0185991 47.8279459);n2123478251;2123478251;node;wind_turbine;;3 MW;wind;generator;PSP006;horizontal_axis;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
POINT (17.0370273 47.8285278);n2123478252;2123478252;node;wind_turbine;;3 MW;wind;generator;W-06973-020;horizontal_axis;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
POINT (17.0242498 47.8295065);n2123478253;2123478253;node;wind_turbine;;3 MW;wind;generator;PSP007;horizontal_axis;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
POINT (17.0416756 47.8297716);n2123478255;2123478255;node;wind_turbine;;3 MW;wind;generator;W-07265-001;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
POINT (17.0299129 47.8310729);n2123478256;2123478256;node;wind_turbine;;3 MW;wind;generator;PSP008;horizontal_axis;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
POINT (17.0464452 47.8322088);n2123478258;2123478258;node;wind_turbine;;3 MW;wind;generator;W-06973-013;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
POINT (17.0363696 47.8322186);n2123478259;2123478259;node;wind_turbine;;3 MW;wind;generator;W-06973-019;horizontal_axis;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
POINT (17.0082309 47.8331031);n2123478260;2123478260;node;;;3 MW;wind;generator;W-06973-031;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
POINT (17.0203091 47.8333626);n2123478261;2123478261;node;wind_turbine;;3 MW;wind;generator;;horizontal_axis;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
POINT (17.0140529 47.834772);n2123478262;2123478262;node;;;3 MW;wind;generator;W-06973-027;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
POINT (17.0259628 47.834922);n2123478263;2123478263;node;wind_turbine;;3 MW;wind;generator;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
POINT (17.0349888 47.8364809);n2123478266;2123478266;node;wind_turbine;;3 MW;wind;generator;W-06973-018;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
POINT (17.0026126 47.8370921);n2123478267;2123478267;node;;;3 MW;wind;generator;W-06973-030;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
